"Comon Name","Image","Origin/Region","Notes"
"Alampur Baneshan","","India","",
"Alice","","United States","",
"Almaas","","Pakistan","",
"Alphonso","","India, Pakistan, United Arab Emirates","King of mangoes, very sweet with fibreless pulp, rich in vitamin A and C, founded mainly in Devgad & Ratnagiri Districts of Maharashtra, India. This cultivar is available from February till the end of May. The dates of availability of mangoes vary by geography, climate, and weather.",
"Amrapali","","India","",
"Anderson","","United States","Anderson is a seedling of Sandersha that was planted at the residence of Mrs. L.F. Anderson in Miami, Florida. Anderson is a large mango, growing in length from 26 to 34 cm. [Mangoes:  A Guide To Mangoes In Florida, p. 30] The eating quality was listed as fair.",
"Angie","","Florida, United States","Angie mango is a dwarfing mango tree from Florida with excellent eating quality. Angie has a resinous taste, similar to the Carrie mango. Angie is considered to be a disease-resistant mango, but in high humidity environments, Angies new leaf growth is susceptible to mango scab.",
"Anwar Ratol","","(Multan, Punjab Pakistan) (Uttar Pradesh, India)","Anwar Ratol is a small sized yellow in colour mango sometimes known as mini-sized power house available in the Punjab and Sindh regions of Pakistan. It is also available near Rataul village in Uttar Pradesh, India. It is insanely sweet in taste with less of fibre.",
"Ataulfo","","Ecuador, Mexico","",
"Badami","","Karnataka, India","Badami mangoes are also known as the Alphonso of Karnataka state.",
"Baileys Marvel","","United States","",
"Banganapalle","","Andhra Pradesh, India","King Of Mangoes, Pride of India are less words for this variety. One who tasted the right fruit from BanaganaPalli (Kurnool, Andhra Pradesh) area will agree why its King of Mangoes. The largest volume mango cultivar in the world, this medium-large fruit ripens to a golden-yellow exterior and a straw-yellow to golden-yellow interior. Very juicy, slightly acidic, aroma never leave your heart with little or no fibre and a creamy texture. It originates from the erstwhile princely state of Banganapalle, in present-day Andhra Pradesh, India.",
"Bangalora[5]","","India","It is also known as Kilimooku mangoes",
"Bennet Alphonso","","United States","",
"Beverly","","United States","Beverly is an almost fiber-less late season mango.  In South Florida, fruiting as late as August or October.",
"Black and Rose","","Kerala, India","Black and Rose",
"Bombay","","India, United States","Bombay is a vigorous mango tree that bears fruit in June–July in South Florida. It is susceptible to anthracnose. Bombay is the parent of the White Perie mango of Hawaii.",
"Brahm Kai Meu","","United States","",
"Brooks","","Australia, United States","",
"Carabao (Philippine Mango)","","Philippines","The Ataulfo and Manilita mango cultivars originated from the Philippine Mango variety. It can be traced back in the Manila-Mexico galleon trade in the years 1600-1800s.[6]",
"Carrie","","United States","Carrie is a seedling of a Sophie Fry from the residence of Mr. Lawrence H. Zill of Boynton Beach, Florida. It was named in honor of Mr. Zills mother, Carrie. The Carrie mango turns slight yellow when ripe, but what it lacks in color, it makes up in taste. The Carrie mango has a strong resinous flavor that is desired by some, and despised by others. A Carrie mango must be allowed to ripen on the tree and develops a strong musky flavor when over-ripe.",
"Chaunsa","","India, Multan (Punjab), Pakistan","Chaunsa (also referred to as Chausa) is a pale yellow, slightly green succulent variety of mango when ripe. Closer to its ripening, the mango skin will be soft to touch and will appear wrinkly. Chaunsa is harvested in the summer months (June–September).",
"Chinna rasalu","","Nuzvid in Andhra Pradesh of India","",
"Cherukurasamu","","Nuzvid in Andhra Pradesh of India","",
"Coconut Cream","","United States","Coconut Cream is part of the selective breeding program by Zills High Performance and is patented. The fruit tastes like coconut cream pie. The branches of the tree grow in arcs and curve around, making a complex tree canopy.",
"Chok Anan","","Pakistan, Bangladesh, India, Thailand","Choc Anan is known as the ever-bearing mango tree because of its potential to have a mango crop during the summer and winter. Some speculate that removing the summer crop may increase the chances of a winter crop by allowing the tree to save the energy that would have been used for fruit production in the summer.",
"Cogshall","","United States","Cogshall is from Pine Island, Florida. It is an excellent eating quality, but is not commercially available because of a very short shelf-life and thin skin that would bruise easily.",
"Cushman","","United States","",
"Dasheri","","India, Nepal, Pakistan,","Grafts and propagations from a mother tree near Lucknow, Uttar Pradesh, India have been widely grown in North India, Nepal, Pakistan and as far south as Andhar Pradesh since the 18th century.
An excellent quality mango, it is grown for export, and can be found in markets around southeast Asia.",
"Dot","","United States","Dot is an exceptional tasting mango. Dot is a seedling of the Carrie Mango planted at Lawrence Zills Boynton Beach, Florida home. The dot mango is highly susceptible to anthracnose, so it should not be planted in high humidity locations.",
"Dudhiya Malda","","India, Nepal","Grown in Digha, Patna, Bihar, and Siraha. Known for its distinctively sweet, yellowish pulp and thin skin.[7][8][9][10]",
"Duncan","","United States","Duncan mango was patented by David Sturrock of West Palm Beach, Florida. The patent has long since expired. Duncan fruits in clusters and has excellent disease resistance.  It is a mid-late season mango.",
"Earlygold","","United States","",
"Edward","","United States","Edward is an excellent eating quality mango, but is considered to be a shy bearer (little fruit).",
"Eldon","","United States","",
"Emerald","","United States","",
"Fazli (mango)","","Rajshahi, Bangladesh","The Fazli mango is a mango cultivar primarily grown in Bangladesh. and Indian States of West Bengal. It is a late maturing fruit, available after other varieties. Fazlis are commonly used in jams and pickles in the cuisine of the Indian subcontinent. Each mango can be quite large, going up to a kilo. Rajshahi in Bangladesh is the major producers of fazli.",
"Fajri Kalan","","Pakistan","",
"Fairchild","","United States","",
"Fascell","","United States","",
"Florigon","","United States","Florigon is a seedling of a Saigon planted on the property of Mr. John C. Kaiser, Fort Lauderdale, Florida. The Florigon tree is vigorous. Florigon is considered to be one of the most disease resistant varieties of mangoes in high humid climates, although the flavor is not on par with many of the newer varieties.",
"Ford","","United States","",
"Gary","","United States","The Gary mango is considered delicious by many with a hint of coconut flavor. Gary is considered very susceptible to anthracnose.",
"Gir Kesar","","India, United Arab Emirates","The Gir Keshar mango is famous for its colour and smell. Ripe fruit gives a worlds best smell and taste. The taste and smell makes them expensive.",
"Golapkhas/Gulabkhas","","India","",
"Glenn","","Italy, United States","Glenn is a sweet, mild mango. The tree is vigorous, to a medium size. The canopy is rounded. The ripe fruit has a very pleasant sweet smell.",
"Gold Nugget","","United States","",
"Golden Lippens","","United States","",
"Graham","","Trinidad","Graham is from Trinidad.  Compared with many modern mangoes, Graham seems bland.",
"Green Willard","","Sri Lanka, India","",
"Haden","","India, Australia, Brazil, Costa Rica, Ecuador, Guatemala, Honduras, Mexico, United States","Haden is the parent of many, many other varieties of mangoes in the United States. Haden was a Mulgoba seedling. The original Haden tree still stands in Coral Gables, Florida.",
"Haribhanga","","Bangladesh","The Haribhanga mango, is a mango cultivar produced in the northwest part of Bangladesh, especially in the Rangpur district. Cultivation of the Haribhanga mango has recently gained popularity among the farmers of northern districts. Locally called Haribhanga, these mangoes are round in shape and black in color. Haribhanga is highly fleshy, fiberless, and typically weighs 200 to 400 grams.",
"Hatcher","","United States","",
"Heidi","","South Africa","",
"Himayat / Imam Pasand","","India","",
"Himsagar","","Rajshahi in Bangladesh, India","The Himsagar mango is a popular mango cultivar, originating in the modern-day Rajshahi in Bangladesh  and state of West Bengal in India. Widely considered as the Champagne of mangoes, the inside of Himsagar is yellow to orange in colour and does not have any fibre. The fruit is medium-sized and weighs between 250 and 350 grams, out of which the pulp content is around 77%. It has a good keeping quality. It is also known as Khirsapati.",
"Ice Cream","","United States","",
"Irwin","","Australia, Costa Rica, United States, Taiwan, Japan (Okinawa)","In Japan this variety is marketed as Apple Mango.",
"Ivory","","China","Also known as the Jingu Ivory mango, or Ivory mango, this long, thin mango is named for its resemblance to a young elephants tusk. It has thin, smooth skin. The flesh contains very few fibre, and constitutes approximately 82 percent of the fruit. It was first introduced into Yunnan, China from Thailand in 1914. The actual tree that was the first to be imported still grows, and during one year produced almost 500 kg of fruit.[11]",
"Jacquelin","","United States","",
"Jakarta","","United States","",
"Jean Ellen","","United States","",
"Julie","","Caribbean","A colourful, oval shaped mango with almost flat sides. Has a sweet-tart flavour and a dwarf growth habit. Originated in the Caribbean and is still very popular throughout the region. Julie is a high fibre mango.",
"Kalepad","","Andhra Pradesh, India","",
"Gir Kesar","","Kachchh, India","",
"Katchamitha","","India, Philippines","Katchamitha originated from India, but has become one of the most common cultivars in the Philippines where it is commonly called the Indian mango. It is commonly eaten while still green and crispy and has a mildly sweet taste. The flesh is fibrous when ripe compared to the native carabao mango.[12][13]",
"Kensington Pride","","Australia, Italy, United States","",
"Keitt","","Australia, Costa Rica, Ecuador, Italy, South Africa, United States","Keitt (pronounced kit) is one of the latest season mangoes in South Florida (United States), with fruit into October. Backyard Keitts in South Florida regularly get to 2 pounds, and occasionally as large as 5 pounds.",
